Model,clean,gaussian_noise_low,gaussian_noise_medium,brightness_up,brightness_down,gaussian_blur_mild,gaussian_blur_strong,contrast_reduction,jpeg_artifacts,gaussian_noise_low_drop_pct,gaussian_noise_medium_drop_pct,brightness_up_drop_pct,brightness_down_drop_pct,gaussian_blur_mild_drop_pct,gaussian_blur_strong_drop_pct,contrast_reduction_drop_pct,jpeg_artifacts_drop_pct,avg_drop_pct
resnet50_pretrained,0.9334096717198087,0.9070992333123268,0.7719422042881628,0.9113105848253248,0.8900772140451063,0.5235298390260444,0.3705389761867863,0.9200304284203913,0.7408455223159987,2.82,17.3,2.37,4.64,43.91,60.3,1.43,20.63,19.17
resnet50_scratch,0.8960531146467949,0.8953455245432073,0.8907219207108202,0.8946924106191391,0.882215802904082,0.8759187398171422,0.7422230777662318,0.8743037182916357,0.8887904125425243,0.08,0.59,0.15,1.54,2.25,17.17,2.43,0.81,3.13
efficientnet_b0,0.9528966669818404,0.643188909863529,0.07331701033399286,0.8980981309153825,0.8893325367328,0.6804832223573788,0.3975372249354137,0.9453693109192498,0.13428673463830995,32.5,92.31,5.75,6.67,28.59,58.28,0.79,85.91,38.85
mobilevit_xs,0.9385855891193374,0.8490034926181648,0.6428360714891398,0.9311209213581718,0.9256647858255146,0.42603799879811904,0.33953541396726844,0.9330326777748347,0.6691762171418422,9.54,31.51,0.8,1.38,54.61,63.82,0.59,28.7,23.87
simclr_resnet50,0.9506512553731666,0.9492167769320693,0.9193459451990432,0.953949597078538,0.945130976228621,0.6016984661039376,0.38163687425777953,0.9459935059564931,0.9271074421054704,0.15,3.29,-0.35,0.58,36.71,59.86,0.49,2.48,12.9
mae_vits16,0.8128579606195698,0.8098968756522891,0.8103244344710934,0.7821356622922728,0.7911233334062943,0.8111140879316486,0.7717424843556991,0.7807594344706565,0.7976191151711357,0.36,0.31,3.78,2.67,0.21,5.06,3.95,1.87,2.28
